Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.31190476190476174,-0.275599128540305,-0.37142857142857144,Dummy-RF
<built-in function iter>,-0.37460317460317455,-0.23863636363636365,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.32222222222222213,-0.3082788671023966,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.23809523809523814,-0.09009009009009017,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.18095238095238098,-0.24583333333333335,-0.2571428571428572,Dummy-RF
<built-in function iter>,-0.38174603174603194,-0.21991341991341995,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.37142857142857144,-0.12745098039215685,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.4095238095238096,-0.24242424242424243,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.465873015873016,-0.2375366568914956,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.31666666666666665,-0.18764568764568756,0.0,Dummy-RF
<built-in function iter>,-0.288095238095238,-0.10681114551083581,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.20396825396825402,-0.17647058823529405,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.5396825396825398,-0.24910714285714286,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4579365079365079,-0.07072368421052633,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.28888888888888886,-0.17647058823529405,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.33412698412698427,-0.07478632478632485,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.296031746031746,-0.10897994768962516,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3388888888888888,-0.20197044334975367,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.3079365079365078,-0.18067226890756294,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.22857142857142865,-0.1819685690653432,-0.34285714285714286,Dummy-RF
<built-in function iter>,-0.4309523809523809,-0.30658783783783783,-0.39999999999999997,Dummy-RF
<built-in function iter>,-0.2873015873015873,-0.1792929292929294,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.18015873015873007,0.004962779156327479,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.4952380952380954,-0.22142857142857142,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.15317460317460319,-0.022556390977443552,0.05714285714285705,Dummy-RF
<built-in function iter>,-0.24365079365079367,-0.21581196581196582,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.28730158730158734,-0.15878378378378377,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.14603174603174618,-0.080952380952381,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.15714285714285703,-0.13461538461538458,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.27301587301587293,-0.2796536796536796,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.3603174603174603,-0.14578214578214577,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3142857142857142,-0.12063492063492065,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4134920634920635,-0.10028449502133718,-0.08571428571428563,Dummy-RF
