,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
888,[-0.4100346],[-0.15384615],[-0.17647059],[-0.4100346],[-0.10606061],[-0.23529412],[-0.40311419],[-0.33333333],[-0.02941176],999
889,[-0.40657439],[-0.12217195],[-0.23529412],[-0.38062284],[-0.08627451],[-0.32352941],[-0.41522491],[-0.35294118],[-0.05882353],999
890,[-0.36764706],[-0.22697368],[-0.35294118],[-0.36591696],[-0.1548913],[-0.44117647],[-0.3866782],[-0.4375],[-0.08823529],999
891,[-0.33737024],[-0.03453453],[-0.05882353],[-0.37370242],[-0.03333333],[-0.23529412],[-0.34429066],[-0.27777778],[ 0.20588235],999
892,[-0.33477509],[-0.0375],[-0.20588235],[-0.30190311],[-0.01462766],[-0.32352941],[-0.35553633],[-0.3125],[-0.17647059],999
893,[-0.36851211],[-0.06771546],[-0.26470588],[-0.35640138],[-0.02565707],[-0.29411765],[-0.38235294],[-0.32352941],[-0.11764706],999
894,[-0.23615917],[-0.1242378],[-0.32352941],[-0.23615917],[-0.08288043],[-0.38235294],[-0.25692042],[-0.34375],[-0.14705882],999
895,[-0.38408304],[-0.07641196],[-0.26470588],[-0.37889273],[-0.07641196],[-0.26470588],[-0.39446367],[-0.28571429],[-0.08823529],999
896,[-0.36245675],[-0.18627451],[-0.23529412],[-0.3866782],[-0.11484594],[-0.29411765],[-0.39359862],[-0.35294118],[-0.17647059],999
897,[-0.34602076],[-0.10654936],[-0.14705882],[-0.35813149],[ 0.02100525],[-0.23529412],[-0.39100346],[-0.25806452],[ 0.],999
898,[-0.51730104],[-0.14159892],[-0.26470588],[-0.52941176],[-0.10024155],[-0.32352941],[-0.53287197],[-0.36111111],[-0.17647059],999
899,[-0.47750865],[-0.08351648],[-0.17647059],[-0.5017301],[-0.05341615],[-0.29411765],[-0.51730104],[-0.31428571],[ 0.],999
900,[-0.42214533],[-0.15483871],[-0.23529412],[-0.40657439],[-0.10483871],[-0.29411765],[-0.39792388],[-0.35483871],[-0.02941176],999
901,[-0.48183391],[-0.08838384],[-0.26470588],[-0.42474048],[-0.05498866],[-0.32352941],[-0.43512111],[-0.36111111],[-0.02941176],999
902,[-0.32958478],[-0.0468029],[ 0.02941176],[-0.30709343],[-0.02818428],[-0.11764706],[-0.2949827],[-0.31707317],[ 0.29411765],999
903,[-0.25259516],[-0.08333333],[-0.14705882],[-0.26643599],[-0.08943089],[-0.26470588],[-0.26643599],[-0.33333333],[ 0.],999
904,[-0.50519031],[-0.19316375],[-0.26470588],[-0.51038062],[-0.11568627],[-0.35294118],[-0.51557093],[-0.38235294],[-0.14705882],999
905,[-0.34515571],[-0.11111111],[-0.17647059],[-0.28633218],[-0.08943089],[-0.26470588],[-0.2967128],[-0.33333333],[ 0.],999
906,[-0.50346021],[-0.10227273],[-0.35294118],[-0.5],[-0.0625],[-0.38235294],[-0.51211073],[-0.375],[-0.17647059],999
907,[-0.37370242],[-0.22727273],[-0.29411765],[-0.37197232],[-0.17965368],[-0.38235294],[-0.3633218],[-0.39393939],[-0.02941176],999
908,[-0.41262976],[-0.07038328],[-0.20588235],[-0.35207612],[-0.04155844],[-0.23529412],[-0.40224913],[-0.31428571],[-0.05882353],999
909,[-0.37370242],[-0.17657046],[-0.32352941],[-0.41522491],[-0.13128282],[-0.38235294],[-0.40138408],[-0.38709677],[-0.23529412],999
910,[-0.3633218],[-0.08095238],[-0.23529412],[-0.37716263],[-0.07012987],[-0.26470588],[-0.36678201],[-0.34285714],[-0.11764706],999
911,[-0.37716263],[-0.08353808],[-0.17647059],[-0.37543253],[-0.01691332],[-0.23529412],[-0.38408304],[-0.27272727],[ 0.02941176],999
912,[-0.40397924],[-0.1025641],[-0.35294118],[-0.42128028],[-0.04166667],[-0.47058824],[-0.433391],[-0.33333333],[-0.14705882],999
913,[-0.39359862],[-0.08602151],[-0.23529412],[-0.41262976],[-0.13046595],[-0.41176471],[-0.42647059],[-0.41935484],[-0.11764706],999
914,[-0.33910035],[-0.06543779],[-0.14705882],[-0.38408304],[-0.06171108],[-0.38235294],[-0.38754325],[-0.32258065],[-0.05882353],999
